,Descriptor0,Descriptor1,Descriptor2,Descriptor3,Descriptor4,Descriptor5,Descriptor6,Descriptor7,Descriptor8,Descriptor9,Descriptor10,Descriptor11,Descriptor12,Descriptor13,Descriptor14,Descriptor15,Descriptor16,Descriptor17,Descriptor18,Descriptor19,Descriptor20,Descriptor21,Descriptor22,Descriptor23,Descriptor24,Descriptor25,Descriptor26,Descriptor27,Descriptor28,Descriptor29,Labels
0,511431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,296,344,181,227,253,299,353,360,652,990,716,976,1202,1643,0
1,514068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,162,260,472,368,567,620,458,236,338,310,350,285,491,935,0
2,513824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,82,74,109,106,137,36,120,186,440,441,646,808,1135,1785,0
3,512041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,438,215,359,376,583,556,400,734,356,753,777,349,729,1170,1
4,515743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,22,17,41,46,137,139,275,263,409,557,566,618,1140,1
5,505191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,1263,670,645,482,794,706,804,1243,1113,1229,919,1412,1224,1820,2
6,515866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,14,89,131,51,195,256,81,410,357,253,577,722,847,3
7,512112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,287,580,554,438,520,604,390,445,400,524,345,406,571,1629,3
8,514622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,124,168,247,448,269,180,169,205,139,272,677,444,413,1428,3
9,513986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,48,44,123,245,259,184,331,454,603,746,698,701,1519,4
10,512739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,445,115,214,218,175,378,335,218,201,249,604,810,930,1828,4
11,515213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,79,91,195,175,128,113,177,213,280,255,329,435,531,1747,4
12,509376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,125,117,273,476,273,162,333,299,499,553,1138,1623,1573,3130,4
13,512088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,122,221,412,425,1037,268,201,504,504,233,349,512,675,2282,4
14,512988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,260,367,474,260,266,341,518,287,165,248,336,519,741,2062,4
15,511100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,786,251,691,495,234,176,234,237,357,219,430,586,1398,2110,4
16,516154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,54,88,188,70,60,32,78,281,160,99,257,345,663,1429,5
17,514052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,192,159,126,191,211,308,358,345,280,239,280,701,851,1646,5
18,512296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,1055,464,286,443,437,253,120,224,167,241,567,274,625,1825,6
19,513558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,320,436,183,70,70,84,52,26,126,180,325,738,1362,2319,6
20,510907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,319,292,550,585,592,864,767,676,799,373,411,426,653,1512,6
21,513938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,163,192,177,207,268,103,156,175,201,275,456,551,1016,1992,6
22,512722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,89,102,131,247,427,364,429,614,435,475,510,883,1011,1529,6
23,513849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,295,336,393,382,406,219,127,101,183,314,367,709,893,1226,6
24,511198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,841,991,647,236,414,209,321,219,282,372,449,421,851,1860,6
25,512633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,77,251,86,179,252,610,693,653,224,355,1025,518,480,1646,6
26,513355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,726,148,91,75,124,155,222,206,282,323,488,681,642,1834,6
27,510091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,332,282,361,448,403,286,474,417,474,459,890,1054,1271,2373,6
28,511572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,441,323,410,291,267,353,527,416,982,729,760,534,968,1293,6
29,509988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,194,239,159,164,602,195,260,472,864,1886,580,1120,1383,1739,6
30,511414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,393,283,376,137,220,385,739,965,765,489,456,924,510,1801,6
31,514496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,234,221,281,147,132,193,244,254,595,366,471,526,506,1263,6
32,511531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,431,602,426,178,452,406,502,483,272,841,424,746,779,1680,6
33,513485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,237,202,347,324,420,338,468,247,273,236,365,530,735,1643,6
34,514535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,81,229,137,308,441,376,239,179,300,572,239,527,443,1347,6
35,509134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,1185,841,446,475,317,232,312,386,347,592,778,647,1085,2525,6
36,507617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,110,177,589,579,362,1046,1081,1504,1631,967,1294,491,756,1729,6
37,512528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,142,168,177,209,305,330,520,412,426,478,616,949,1132,1581,6
38,508559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,1018,586,277,288,409,379,414,497,472,695,440,623,940,3043,6
39,514188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,349,180,186,229,208,200,217,331,749,214,264,295,589,1526,6
40,511137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,114,96,282,426,266,393,411,602,829,575,857,838,1139,1978,7
41,510312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,161,149,322,382,254,488,393,529,853,1011,936,1436,1415,1292,7
42,508426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,99,220,346,446,425,467,711,878,851,964,946,1428,1299,2449,7
43,516092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42,193,302,35,60,90,106,128,342,490,108,317,495,1186,7
44,513570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,57,79,87,150,233,239,217,107,163,284,694,981,1130,1982,7
45,511242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,65,217,412,273,529,271,256,497,500,752,1153,738,970,2049,7
46,514274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,103,145,205,106,227,396,384,185,107,344,328,447,558,2074,7
47,514191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,89,140,137,166,247,447,431,492,399,375,238,695,486,1395,7
48,513888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,238,144,270,223,345,375,452,487,308,409,637,569,592,999,7
49,515111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,133,340,373,581,557,261,119,128,186,101,189,360,371,1175,7
50,513605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,147,368,494,312,321,508,424,415,144,256,256,536,613,1515,7
51,510863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,383,209,466,447,390,375,640,795,888,686,860,776,601,1460,7
52,509492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,83,116,389,453,339,529,1284,1166,947,786,961,637,954,1811,7
53,511874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,113,167,122,230,398,771,521,314,359,239,564,1130,1256,1866,7
54,509147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,245,205,341,412,470,443,799,711,877,696,1043,976,1219,2261,7
55,512895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,150,169,186,233,314,420,666,359,406,457,692,828,786,1378,7
56,515289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,220,336,156,270,165,252,191,137,251,190,218,423,538,1293,7
57,515395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,230,249,232,269,134,297,194,141,188,184,236,409,383,1383,7
58,509155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,485,455,797,492,737,480,799,611,1059,705,1002,703,1177,1287,7
59,511281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,73,67,156,305,273,382,627,593,594,1069,1321,671,700,1816,7
60,513870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,73,158,243,316,467,276,236,288,241,438,849,309,591,1625,7
61,516694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14,35,35,63,53,160,281,277,323,298,291,408,1050,7
62,514634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,33,73,78,123,73,125,181,329,244,446,765,1283,1582,8
63,513859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,215,136,51,70,164,288,301,386,407,597,681,723,497,1533,9
64,512846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,106,106,222,95,183,250,763,770,548,810,688,535,672,1301,9
65,512623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,47,39,50,87,193,275,486,540,599,520,637,981,1199,1683,9
66,510209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,243,250,339,492,442,209,295,415,750,499,713,842,1569,2526,9
67,515342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,50,82,177,198,131,161,270,355,415,213,265,213,503,1545,9
68,509957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,535,460,460,627,662,750,629,996,958,869,723,600,654,1010,10
69,509639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,125,99,117,221,341,619,681,649,1209,1032,824,743,1293,2342,11
70,512530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,68,276,226,319,218,103,108,122,590,675,950,997,703,1939,11
71,506161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,1133,780,563,853,1071,1522,851,0,358,601,781,558,1497,2026,11
72,510538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,145,84,119,254,246,226,324,552,706,1150,999,826,922,2736,11
73,506006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,778,1127,1420,991,1086,702,847,1013,591,545,941,912,1089,1665,11
74,514222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,174,77,98,151,210,279,356,359,128,357,334,349,708,2102,11
75,503419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,692,528,932,1346,1828,1839,2188,1817,952,84,0,225,1412,2339,11
76,510239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,354,440,431,482,503,290,652,814,485,601,610,1040,1360,1447,11
77,506742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,433,395,704,677,725,699,1130,1318,1312,1357,1033,785,794,1636,11
78,512193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,304,196,325,368,705,742,479,169,364,242,323,491,626,2280,11
79,512864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,151,80,91,152,245,490,240,340,364,539,648,737,1076,1861,11
80,508753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,302,357,309,274,345,448,668,673,1029,1029,1042,1424,971,2117,11
81,514402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,90,27,66,43,81,143,171,260,333,322,535,698,1036,1754,11
82,506439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,547,635,741,657,359,434,817,1152,1300,1171,1091,1376,1294,1705,11
83,513922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,117,128,80,140,150,252,190,286,405,502,339,646,947,1768,11
